bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,1024,0.02,0.5,2,1.0527821919937403,1.2556827351680226,1.2678275568144277,1.0534668765635107,-0.0007013314474060273,0.0006846845697701065,0.2029171900519183,1.0527655451161044,0.00034033029752171686,-0.0010488963235796268,-0.00038740391576634717,-0.0013868520039627974,0.0026557506701320056,1.050635404490544,1.0547715267238573,0.9872009215810992,1.5557158477000783
0.7,1024,0.02,1.0,0,8.752536624192677,8.173741035861926,8.14449211509483,8.751324780027403,-0.06428912643966997,-0.0012118441652736146,-0.5132946177258074,8.687035653587735,0.0019451859087046331,-0.08620517658528692,-0.04409323298796198,-0.014503481633306127,0.012012526413108978,8.66393846380063,8.709945966885183,6.026907907582444,10.662029779918464
0.7,1024,0.02,1.0,1,1.8943955788410023,1.6800359647426943,1.6805364629954955,1.8922611545524952,-0.014884037334428715,-0.002134424288506922,-0.19734115247537226,1.8773771172180664,0.0019451859087046331,-0.022604644353156744,-0.008582886606201894,-0.006392138507778793,0.001665899198774006,1.8694239890544866,1.8842802443662896,1.2109876084739293,2.201507831373606
0.7,1024,0.02,1.0,2,1.850373730035156,2.1933523765006715,2.214470978104489,1.850888220473091,-0.014647004641559967,0.0005144904379352377,0.3571111606691408,1.8362412158315313,0.0019451859087046331,-0.019194248219070804,-0.010509354052693163,-0.002730894708816201,0.0035937531454252616,1.830566542256749,1.8414342769485863,1.7226332721181308,2.7133412937934507
0.7,1024,0.08,0.0,0,1.2962166340403238,1.2342279073445486,1.2300961403996389,1.2953660233900697,0.0009350881642715042,-0.000850610650253838,-0.062073204209792954,1.2963011115543415,2.999028112886752e-05,0.0005993711718261851,0.0013395341519268835,-0.0016245272922795087,-5.966679523886425e-05,1.295371969927618,1.2972566771492509,0.9072777073778577,1.6073136541430055
0.7,1024,0.08,0.0,1,0.2012576767529909,0.18322851875946694,0.18291753429167126,0.2010589581927302,0.00011293373804983587,-0.00019871856026066782,-0.01794337317131314,0.20117189193078008,2.999028112886752e-05,6.85495593413179e-05,0.00016362661918188236,-0.00037629303713392445,-2.1612339404063196e-05,0.2009860498152445,0.20134770291031207,0.13334120309241465,0.23871959632042417
0.7,1024,0.08,0.0,2,0.1846456393653955,0.21938972602526532,0.22136655936095734,0.1843612506005574,9.837854842016998e-05,-0.0002843887648380958,0.03493009687628773,0.18445962914897762,2.999028112886752e-05,6.812219569054349e-05,0.00013348458523260382,-0.0004510079538614431,-0.000111800258299176,0.18428696057766317,0.18463765770274138,0.17181889051239294,0.2711904234746404
0.7,1024,0.08,0.5,0,2.1577271150174275,2.052520275191021,2.045645848247102,2.1563078284798105,-0.0011812132417225742,-0.0014192865376173236,-0.1026063400470669,2.1551266152380877,5.304602847915329e-05,-0.0015834670347789931,-0.0008005725622420978,-0.0025666813397894088,-0.00024787737503590486,2.153975273168405,2.156291144965288,1.508913299267816,2.6734626658811464
0.7,1024,0.08,0.5,1,0.3294188997506572,0.29982959080277577,0.29928490640760197,0.32910668449105307,-0.00019996718262122473,-0.000312215259604155,-0.029077126505656036,0.3289067173084318,5.304602847915329e-05,-0.00030805038385615105,-0.00011219301773624078,-0.0006269157368029454,-6.818380758346063e-06,0.32857562574241445,0.3292265068862414,0.2180694442499498,0.3906017243883501
0.7,1024,0.08,0.5,2,0.3008033815454169,0.3569135160111283,0.3601149962312509,0.30032010107701057,-0.0001590663546265407,-0.0004832804684063691,0.05675248128874426,0.30016103472238403,5.304602847915329e-05,-0.0002101878848763406,-0.000111268032072182,-0.0007733746049974056,-0.00018587049956525994,0.29986552504380337,0.3004642410526587,0.27930000802142013,0.44111786455777574
